,tweet_id,created_at,user,location,text
23,'1334328514124845060,12/3/2020 2:48,arslanrpk4,Unknown,@thecaravanindia @OfficialDGISPR @realDonaldTrump @JustinTrudeau @ImranKhanPTI @P_Musharraf @BorisJohnson… https://t.co/sNeN9aApEs
24,'1334328513164283904,12/3/2020 2:48,AMISTAD604,Unknown,Trump’s new Wisconsin election lawsuit targets state official who has nothing to do with elections - https://t.co/wCVdBn5lLA
25,'1334328500438884352,12/3/2020 2:47,allanrenz,USA,@realDonaldTrump @LouDobbs he's not fighting for free and fair elections. He's fighting for an election he wins.
26,'1334328496085200900,12/3/2020 2:47,crbobba,Unknown,@tribelaw Get this! FLYNN is advising to suspend constitution and conduct new elections! Time for serious punishments for subversion?
27,'1334328494923386881,12/3/2020 2:47,ShinerBockGirl,Unknown,@BrendanKeefe @GabrielSterling Maybe if they quit cheating and trying to steal our elections people wouldn't be pissed.  Just a thought.
28,'1334328487784681472,12/3/2020 2:47,drryanrucker,USA,@newsmax @stinchfield1776 @newsmax @stinchfield1776 I think Grant was WAY off key tonight with his rant about GA. Y… https://t.co/fSlBrad3Ha
29,'1334328486799036416,12/3/2020 2:47,jn2620,Unknown,"@seanhannity @kayleighmcenany Just stop, will you ! Do you hate this country so much that you feel it's your duty t… https://t.co/0MgNSlHzDf"
30,'1334328484274069506,12/3/2020 2:47,0bserv0r1,Unknown,@CNN @FoxNews @CBSNews @NBCNews @ABC Nobody is more frustrated than the millions who voted for @realDonaldTrump . T… https://t.co/huR2o8rwjz
31,'1334328481036050434,12/3/2020 2:47,Darwtt,USA,@RSBNetwork It is obvious that those on the left are not good at math! Why year after year do the elections not balance?
32,'1334328470588039170,12/3/2020 2:47,barkley_al,Unknown,Absolutely!  Don't vote. The machines are Chinese. Stay home. It's rigged. A hoax. Vote @realDonaldTrump as a write… https://t.co/QKnulXxCGz
33,'1334328461360508930,12/3/2020 2:47,FMoreno12,USA,@NMF1987 @EmeryvilleMatty @charliekirk11 Watch the Michigan elections hearing
34,'1334328453949222913,12/3/2020 2:47,magid1969,USA,"leftists"" encouraging ""voter fraud"" in Georgia runoff elections."
35,'1334328448962109440,12/3/2020 2:47,d_arduseser,Unknown,"Ex-Trump Lawyer Sidney Powell Urges Georgia Voters To Boycott Runoff Elections... Go you Trump cultist, go.  Yee Haw"
36,'1334328447733293057,12/3/2020 2:47,TheSockDumbass,Other,i don’t know how to explain it but instagram feels like walking into the student centre very stressed and sleep dep… https://t.co/v6iH7Ua0vz
37,'1334328444348493825,12/3/2020 2:47,JohnMTalmadgeMD,USA,"#Presidementia Today - Bizarre transcript of Trump’s 46 minute delusional, paranoid, repetitious, falsehood heavy r… https://t.co/brAS8YHAnE"
38,'1334328430398201856,12/3/2020 2:47,henriqueztony,USA,"MSM sucks!

#Elecciones2020 #Elections2020 #StopTheSteaI2020 #COVIDー19 https://t.co/ST6iVNE6sv"
39,'1334328418557710337,12/3/2020 2:47,stevedave38,USA,Trump’s new Wisconsin election lawsuit targets state official who has nothing to do with elections https://t.co/Hrm9UOviet
40,'1334328410089410560,12/3/2020 2:47,ExitGalaxy,USA,"@realDonaldTrump .
🔥🔥🔥”Hell hath no fury like a woman scorned.” ~Anon. 
In USA 2020 elections, that woman is “LADY… https://t.co/QAQEsGR6h4"
41,'1334328398047367169,12/3/2020 2:47,fawfulfan,USA,Trump’s new Wisconsin election lawsuit targets state official who has nothing to do with elections https://t.co/8HgoQh6Z3U
42,'1334328396827009025,12/3/2020 2:47,FinderKeepers5,Unknown,@TheBrickPillow @dbongino Problem is  Dems showed up in mass number too . Elections are always close . Go back and… https://t.co/WFGwiLnQh0
43,'1334328387419172864,12/3/2020 2:47,iamstillarose,USA,@AnneRiceAuthor A brave man indeed. Speaking truth. It’s a pity it’s gotten to this and still going like a broken e… https://t.co/BZBVo9YDRF
44,'1334328369983467520,12/3/2020 2:47,jomaseb,USA,@thehill because you did not win if they would not be the most formidable elections in the best world of democracy hahahahahaha
45,'1334328364291645441,12/3/2020 2:47,tommymercury,USA,@HouseGOP @GOP support the #IMPOTUS and rigged his Senate trial to shield him from accountability.  They are silent… https://t.co/7qNvWOLnpQ
46,'1334328363226370048,12/3/2020 2:47,ExitGalaxy,USA,"@realDonaldTrump .
🔥🔥🔥”Hell hath no fury like a woman scorned.” ~Anon. 
In USA 2020 elections, that woman is “LADY… https://t.co/ci3qQWUFLJ"
47,'1334328358662930434,12/3/2020 2:47,Edgeycated,Unknown,"@kayleighmcenany @realDonaldTrump Why is it so hard for you to understand that metro areas, which are left leaning,… https://t.co/R41MLIbFHk"
48,'1334328357908066307,12/3/2020 2:47,RawStory,USA,"Trump’s new Wisconsin election lawsuit targets state official who has nothing to do with elections

https://t.co/rotxjoOm49"
49,'1334328354946895872,12/3/2020 2:47,ChadARickard,USA,@HMorganThompson He's totally right and he won two elections. Therefore I expect a certain type of hard leftist (fr… https://t.co/TTJsNmI5ua
50,'1334328353235623937,12/3/2020 2:47,FireballLush,Unknown,"@stillgray That will technically be Georgia's fault. Sucks, but it's true. If they can't get their elections in ord… https://t.co/nFAj3OxuQP"
51,'1334328342615560202,12/3/2020 2:47,arstanomar,USA,The elections must be completely canceled.  All those who participated in the falsification must be obliged to retu… https://t.co/kV5llazOxR
52,'1334328328149475332,12/3/2020 2:47,ExitGalaxy,USA,"@realDonaldTrump .
🔥🔥🔥”Hell hath no fury like a woman scorned.” ~Anon. 
In USA 2020 elections, that woman is “LADY… https://t.co/GHNn7vzGib"
53,'1334328320712867840,12/3/2020 2:47,chakrabarti_n,Other,@htTweets @realDonaldTrump Overhauling of the US system of elections is necessary.
54,'1334328303927382017,12/3/2020 2:47,npclivesmatter2,Unknown,The lady testifying right now explains how you rig elections perfectly. Why would you make it impossible to recount… https://t.co/HgMOUMRFUM
55,'1334328283887005696,12/3/2020 2:47,ypsiradio,USA,Rudy is telling Michigan lawmakers to break the law as he rants crazily at a hearing on elections.
56,'1334328282372694017,12/3/2020 2:47,tine614,Unknown,Why does this happen at elections?  Why cant these counties have recounts?  How about  FRAUD?
57,'1334328277192871940,12/3/2020 2:47,howitt_jennie,Unknown,@billsfanatic1 @IngrahamAngle Still waiting for your proof of these “rigged” elections- dont be so damn clueless!
58,'1334328255369908224,12/3/2020 2:47,AltergottEric,USA,"@DrewHolden360 We’re very far away from lizard people. The idea elements of our government and 3 letter agencies, w… https://t.co/dn9zUqp5qe"
59,'1334328254350516226,12/3/2020 2:47,HOBrien_Author,USA,"The argument that there has been voter fraud and/or irregularities in past elections is NOT an excuse to just ""go w… https://t.co/o3mj6ZPodK"
60,'1334328246222131201,12/3/2020 2:46,19CNOTE,USA,@holidayspice @Balaram88022543 @Average10044460 @f_descloux @TakkyYT @realDonaldTrump So elections can be interfered with you say?
61,'1334328243868954626,12/3/2020 2:46,CountryDeserves,Unknown,@realDonaldTrump Trump took over 170 million from his base in the last weeks. Made them think its money to protect… https://t.co/mVF3SDn9K8
62,'1334328213208621057,12/3/2020 2:46,InteristaAussie,Unknown,@VeetonLouis @horatio_stabler @ChuckkLoco @realDonaldTrump I speak for all americans when i say i firmly support th… https://t.co/DitIDvnVa1
63,'1334328211979685888,12/3/2020 2:46,GoodWorldGoods,USA,"media needs to stop giving them the attention they want! 
Pro-Trump Lawyers Say GOP Governor in Georgia Is a Chines… https://t.co/N4hvDUTVk4"
64,'1334328198310445058,12/3/2020 2:46,MrJayWashington,USA,@Jezebel He won 2 elections but then again this is coming from Jezebel so no surprises really?
65,'1334328195559157762,12/3/2020 2:46,LibDemGranny,USA,"@RepSwalwell @RepMoBrooks For that matter, how about other House elections in PA,MI,WI,AZ,GA, &amp; so on? I mean, if t… https://t.co/HdDaKEfXx7"
66,'1334328195458486272,12/3/2020 2:46,QuadCityPat,USA,AP left their fucks behind https://t.co/uL5F8eAbIO
67,'1334328186944057344,12/3/2020 2:46,MagikToxic,USA,@IowaSOS Well Paul. Two years ago an Iowa judge turned over House District 55’s race to Iowa’s Republican state leg… https://t.co/bAZuJifRwo
68,'1334328178957897728,12/3/2020 2:46,Intolrentndian,Unknown,"After US elections, Facebook and Twitter are getting ready to interfere with Indian elections: Why the centre must… https://t.co/UgLWBRVHaO"
69,'1334328176194023425,12/3/2020 2:46,Bezosbucks,USA,@rup1953 Lol. Idk about liking Trump but I do want fair elections.  I think this is test to see if people are cool… https://t.co/PMSurIUHyF
70,'1334328174184947712,12/3/2020 2:46,pittgriffin,USA,"@CJSmith7880 You would like to think 0% But I'll play. I stayed in the East. In '22, Toomey (PA) &amp; Burr (NC) are re… https://t.co/GFivb4m7Tb"
71,'1334328168551866369,12/3/2020 2:46,BiggieD70,Unknown,@realDonaldTrump This is all a mockery of our elections. Trump is a economic jihadist who’s only loyalty is to his bank account!
72,'1334328159873982464,12/3/2020 2:46,gmusement,Unknown,@realDonaldTrump and then lockup #Dobbs @LouDobbs who knows perfectly well what he’s doing. Attempting to subvert e… https://t.co/o5ddTRYCum
73,'1334328155515981824,12/3/2020 2:46,Leslie64993617,USA,Crazy like a con man fox.They are testing the waters for 4 years from now.The next person will be much smarter than… https://t.co/VgpLsx95tQ
74,'1334328148931080193,12/3/2020 2:46,Ferenchak,Unknown,@NikkiHaley MY GOD!!! Lifelong Democrat and head of liberal think tank Nerra Tanden spent years loyal to fellow Dem… https://t.co/hHDidUml8S
75,'1334328144434696192,12/3/2020 2:46,brgulker,Other,@heWIZARD Rudy is in Michigan speaking to state legislators. The theory is that Venezuela helped developed the soft… https://t.co/B7mPOeonab
76,'1334328144065511425,12/3/2020 2:46,Shillong_,Other,"Israeli lawmakers take a step toward new natl elections: Jerusalem, Dec 2: Israel took a major step toward plunging… https://t.co/ylbg4uZOf9"
77,'1334328135681241089,12/3/2020 2:46,Steve____Wright,USA,"Lin Wood's Speech at the '#StoptheSteal' Rally in Georgia: 
We need to take back the country! Every lie will be rev… https://t.co/C2XgmxI2bx"
78,'1334328134435540994,12/3/2020 2:46,KevyneShandris,USA,@jaketapper @gtconway3d It's like they got the news they simply won't have the numbers to win elections and given u… https://t.co/lxD1tGxrxm
79,'1334328121441595395,12/3/2020 2:46,Republicant17,USA,@thehill Elections have consequences.
80,'1334328111631130624,12/3/2020 2:46,dncfreak250,USA,@thehill Elections have consequences 🖕
81,'1334328109886267393,12/3/2020 2:46,hmrjkr,Unknown,"@darrincamilleri Attacking witnesses and whistleblowers who have literally nothing to gain and everything to lose,… https://t.co/v43KUxWGAV"
82,'1334328097479548929,12/3/2020 2:46,vendonah,Unknown,"@mmpadellan Many Democrats claimed that the 2000, 2004 and 2016 elections were “stolen.” Should they have to answer for that?"
83,'1334328097236279297,12/3/2020 2:46,cchanldy,Other,"This is the kind of thread you get when Democrats are stealing elections down to the local school board, and bot De… https://t.co/cCU2Lt1NtR"
84,'1334328085517316097,12/3/2020 2:46,jonathanserrie,USA,Georgia elections officials push back on the left’s efforts to influence outcomes and the right’s attempts to overt… https://t.co/tj9GLzDbSZ
85,'1334328032274870275,12/3/2020 2:46,PerryWi09798896,Unknown,The Republicans used this as a talking point against democrats.  They turned it into Democrats saying get rid of po… https://t.co/SB9rZCPvKB
86,'1334328019608080389,12/3/2020 2:46,xomatosis,Unknown,@GeraldoRivera @realDonaldTrump @POTUS The election was stolen by Democrat workers and I won’t listen to you protec… https://t.co/QWJ7d5j0Wg
87,'1334328014927241218,12/3/2020 2:46,ZiBi9,USA,"The Year is 2020, Trump wins the electoral college but loses the popular vote. He is the first Republican to lose O… https://t.co/k1by1NNa6p"
88,'1334327997709623296,12/3/2020 2:45,FinSubDC,USA,@AJCalMaga @realDonaldTrump This is about the integrity of our elections. That’s why people like you are garbage. Y… https://t.co/GHbwFhgOkO
89,'1334327964033540096,12/3/2020 2:45,QuislingT,Other,@Leftist_Cat @hayley88sky @bluejoni @NBCNews Leftist cat thinks that the best way to win votes and elections is to… https://t.co/7CdKZTOURF
90,'1334327958098632704,12/3/2020 2:45,SpareChangeArc,USA,"@DavidMcAllen6 Right again! I know nothing (beyond teaching, researching &amp; publishing on American politics &amp; the Pr… https://t.co/nDQYVM0Il6"
91,'1334327954818682883,12/3/2020 2:45,Gavansky,Other,"General Thomas suggested to President @realDonaldTrump the application of Martial Law, Executive Order of Elections… https://t.co/d9ZNYrpIA9"
92,'1334327932379082753,12/3/2020 2:45,RFrettchen,USA,@tracybeanz @catturd2 Ditto but I'd happily do it. But I sadly am not in Georgia and cannot influence their electio… https://t.co/nHx3g1Jap1
93,'1334327908718927873,12/3/2020 2:45,jaicoolguy073,Unknown,@Sagar4BJP Same Sagar Irony dies 10000 times go and check modi promises before 2014 elections if we post all those… https://t.co/8ii2jE0wLS
94,'1334327889794269184,12/3/2020 2:45,ByronHsu2,USA,@MariaMe42546452 @LoriRhae @GeraldoRivera @realdonaldtrum @JoeBiden There is no evidence of voter fraud in this ele… https://t.co/y9IwXmyy3n
95,'1334327888280252419,12/3/2020 2:45,KLMResist,USA,@JohnJHarwood And these idiots still believe in zombies who vote in Presidential elections.
96,'1334327872153128960,12/3/2020 2:45,mauricecano,USA,"@murray_nyc @realDonaldTrump Please for our country and democracy, @twitter please suspend @realDonaldTrump’s accou… https://t.co/JffRLDX3Va"
97,'1334327870290792453,12/3/2020 2:45,stuartbuck1,USA,"@RadicalLib @ScottAdamsSays @KingofShirgar Not true.

https://t.co/XgC0IP5VgQ

https://t.co/cDnnCv0cFv"
98,'1334327844177027072,12/3/2020 2:45,bellaella7,USA,"Neutral public servants, Democrats and a growing number of Republicans who won’t do what Trump wants are being caug… https://t.co/sELrv38wz3"
99,'1334327841857695744,12/3/2020 2:45,MatthewJshow,USA,"@realDonaldTrump The evidence of election fraud is overwhelming.

President Trump is well aware that the future of… https://t.co/2rUteoijBH"
100,'1334327819816546304,12/3/2020 2:45,LouisJourdan10,USA,"#Trump escalates baseless attacks on #election with 46-minute video rant, he will ruin GA #SenateGOP #Elections2020… https://t.co/OQwegn19ug"
101,'1334327813827145729,12/3/2020 2:45,falconer_d,Unknown,"@marcorubio Yes, and every day you are all not out screaming support for Honest Elections emboldens these people.
E… https://t.co/LGGxAeseUW"
102,'1334327810035429380,12/3/2020 2:45,Burntsquirrel1,USA,"@unztable @SolomonYue Trump didn’t lose, it’s called FRAUD and a complete attempt to overthrow our elections by for… https://t.co/3hwjfligTe"
103,'1334327794201976832,12/3/2020 2:45,akaLukeTaylor,USA,"@politicsluo Redistricting commissions
Redistricting commissions
Redistricting commissions
Redistricting commission… https://t.co/gplTJclQZS"
104,'1334327777709838336,12/3/2020 2:45,panchpad,Unknown,@kelliwardaz is a total LOSER! She continues to try to be in the spotlight after multiple failed elections. Give it… https://t.co/CWDLixcGCG
105,'1334327763621175297,12/3/2020 2:45,bellaella7,USA,"The last throes of Donald Trump’s presidency have turned ugly — even dangerous.

Death threats are on the rise. Loc… https://t.co/0xtmPsX9jq"
106,'1334327759632527361,12/3/2020 2:45,The_NewArab,Other,"Israel inches closer to fourth elections in two years after Knesset votes to dissolve 

https://t.co/ioFgdKp5rA"
107,'1334327755870064641,12/3/2020 2:45,EveryAlbertan,Other,"#KenneyChoseThis
Bill 45 allows dark $ to poison municipal elections next year.
Be vigilant.
Even our exploding Cov… https://t.co/vfLeyRGaGX"
108,'1334327754565640192,12/3/2020 2:45,jaymichael19811,USA,@NateSilver538 Amazing. MO use to be considered one of the top swing states in the country. It’s streak of picking… https://t.co/jItLD4YDNb
109,'1334327751734648833,12/3/2020 2:45,DemSandiL,Unknown,@thehill This is not a party that believes in free and fair elections anymore. This is a fascist party that doesn’t… https://t.co/eruvmzcmCu
110,'1334327740019990530,12/3/2020 2:44,Nick__Conklin,Unknown,"@NerdGhey And, of course, we primary Kemp, since he seems to think everything is just fine with his state's elections."
111,'1334327735016099844,12/3/2020 2:44,maddiepirkle1,USA,Santa’s Christmas list is more accurate than this election 😂 @kayleighmcenany @realDonaldTrump @PressSec… https://t.co/hb29h8L0Na
112,'1334327726308790272,12/3/2020 2:44,CBSEveningNews,Other,Pres. Trump will campaign for Georgia’s 2 Republican senators ahead of the state’s runoff elections for both seats.… https://t.co/YcS5G09wrn
113,'1334327725176270848,12/3/2020 2:44,Scorpio90796822,Unknown,"@RoxSicard @thehill We have rigged elections, same as you guys."
114,'1334327686089596928,12/3/2020 2:44,SantishreeD,Other,"This is very real, they have cheated in the U.S. elections and censored facts from reaching the people. https://t.co/Oi4zaPtLX2"
115,'1334327676677611522,12/3/2020 2:44,dondero_e,USA,@RyanGirdusky But option 2 guarantees that the Second American Revolution will be launched.  Politics has failed us… https://t.co/xcTQuE6gHh
116,'1334327660286267393,12/3/2020 2:44,TheElephantsKid,Unknown,"Says guy who tried to steal election with forged documents.

Reminder that Democrats will go to enormous lengths--i… https://t.co/aBpcYWvkLe"
117,'1334327656809078784,12/3/2020 2:44,AyushPatidarrr,Other,So the US election is over and @Twitter is all set to interfere in India's elections and playing biased tactics for… https://t.co/vlGuOBwbG2
118,'1334327654695112704,12/3/2020 2:44,ModeratePhx,USA,"@realDonaldTrump Trump bad at math and facts.

2 out of 100 or 2% of duplicate votes human error, not fraud, and sh… https://t.co/bEvHDakTWR"
119,'1334327645404680192,12/3/2020 2:44,AnandSivaram5,Other,"Venezuelan Elections : 
People of Venezuela is going to vote on December 6, according to the constitution adopted b… https://t.co/VSt4t7F0EQ"
120,'1334327636508749824,12/3/2020 2:44,realkodonas,USA,"Americans shouldn’t want rigged elections even if their candidate won because it was rigged 

If you’re okay with y… https://t.co/L3UGEFMA0W"
121,'1334327623447678978,12/3/2020 2:44,ex_appleuser,USA,@janet_rice When are the elections by the way in oz?
122,'1334327613360369664,12/3/2020 2:44,Brown916,Unknown,@NikkiHaley Aww sorry. Elections have consequences.
123,'1334327603629592578,12/3/2020 2:44,Dutch_Mandel,USA,"Yes, Republicans! Listen to the wisdom of Sydney Powell! Boycott the Georgia elections! 

No Surprises in 2nd Georg… https://t.co/Cmshh262gs"
124,'1334327596713209856,12/3/2020 2:44,Spaghettisucks1,USA,"@rpaulsenphoto @MCTW5 @Dokule @Redistrict In one of the lowest turnout primary elections, I have ever seen."
125,'1334327574357549057,12/3/2020 2:44,USRoute41,Unknown,@NHMommy1 @seanhannity @realDonaldTrump @GOP @parscale Or course you don't trust him. He criticized Trump. And IMO… https://t.co/pzharGVqF1
126,'1334327563997601793,12/3/2020 2:44,Southside01,USA,@gregkellyusa @LLinWood Dont Vote the Goergia elections!
127,'1334327563863400448,12/3/2020 2:44,marshallmichels,Unknown,@StarTribune now that elections over and voter fraud prevails this lame ass newspaper displays its hate for its own… https://t.co/2mdpM2rIfk
128,'1334327552647835650,12/3/2020 2:44,ReporterBush,USA,"https://t.co/M0W2YCF8lM
WASHINGTON (AP) — Increasingly detached from reality, President Donald Trump stood before a… https://t.co/QKAMLfZyRC"
129,'1334327507080929286,12/3/2020 2:44,tdary1,Unknown,@Truth_Seeker53 @TheRightMelissa @Rep_CAJohnson How can you vote people out when elections are rigged. Now we know… https://t.co/RebrCP4KIR
130,'1334327495815000065,12/3/2020 2:44,LeonardRubin2,Unknown,"@DrPaulGosar @BarrettBrief They couldn't pull out 100 random votes that were not corrupted. Pathetic.
Maybe Democra… https://t.co/HIcRWqxkx0"
131,'1334327468530913281,12/3/2020 2:43,kayg23451,USA,@EMStoveken @Lauren_Steiner @jvgraz Biden has been on the wrong side of every issue his entire career. The 2022 and… https://t.co/xf6hPYXPY3
132,'1334327468291989506,12/3/2020 2:43,SaadTahhan,Unknown,"@iheartmindy better understand that it's not just a ""policy"" that programmed &amp; implemented for the elections, they… https://t.co/0OBiK3fiRH"
133,'1334327466467471361,12/3/2020 2:43,kimbarba4,Unknown,@BrianKempGA Stacy has no right to interfere with our elections/ Signature Checks must be done
134,'1334327456749260801,12/3/2020 2:43,TheDotP,Unknown,@irenelegal @marcushjohnson Activists are literally organizers for many of the elections.
135,'1334327447408562177,12/3/2020 2:43,pulseofdachiefs,Unknown,@R0zzyB0wden @Freeyourmindkid U have GOP members talking this fraud shhhh about Black ppl voting in mass. Where is… https://t.co/jviwM4Rc9V
136,'1334327445605003267,12/3/2020 2:43,t_roybaker,Unknown,I’m can’t say how happy I am to have @JustinRoebuck handling elections in Ottawa County and clearly explaining the… https://t.co/1XCIDJX4WH
137,'1334327442220048384,12/3/2020 2:43,BackWoo81391180,Unknown,@realDonaldTrump Nothing Worse Than Communists Funding American Socialist Democrats To Betray The United States. Ma… https://t.co/Iqv0ejOOY8
138,'1334327440605290496,12/3/2020 2:43,_DavidT_,USA,"@gaichambers @SkyNewsAust Yea, back at ya. All I can say is that recent polls by mainstream outlets show that almos… https://t.co/UD2GDmifKi"
139,'1334327434850697220,12/3/2020 2:43,MtgGuyDan,USA,"@EverettHawkFan Then you have yesterday's revelations of 75% Chinese ownership in Dominion, and the $400 million th… https://t.co/kQquRutJMp"
140,'1334327428966088705,12/3/2020 2:43,ngpal5,Unknown,@realDonaldTrump Please do not spread mis information based on what an idiot sitting in WH is saying. He has lost t… https://t.co/C0tKSHE7Rs
141,'1334327425090523136,12/3/2020 2:43,cmarinucci,USA,"LA @SenJohnKennedy's pitch on @Hannity to GOPers re voting in the Georgia elections: ""If dead people can do it, so can you.'"""
142,'1334327412792979458,12/3/2020 2:43,ElmerFuddhunter,Unknown,"@funder These guys are all working from the same authoritarian, coup play book. Question the integrity of our democ… https://t.co/UtDKZHXsYb"
143,'1334327408850296834,12/3/2020 2:43,_spencer_ace_,USA,"Obama: hey maybe don’t say retarded things if you want to win elections

Leftist Twitter: stfu loser we’ll say reta… https://t.co/hcFHfFNmOb"
144,'1334327372112252929,12/3/2020 2:43,RomulusMagnelah,USA,How to Counter Connecticut's Elections Locations Corruption also Inter-b... https://t.co/ZQS1qbewKZ via #Connecticut
145,'1334327354101915648,12/3/2020 2:43,ScottPPeriod,Unknown,@matt_logan @MarkSpille @AdriaensXavier @sonomaflyer @realDonaldTrump What I’ve read is that there were 200 ballots… https://t.co/k85mUXf6Sb
146,'1334327344480342017,12/3/2020 2:43,Derrick_L_Lopez,USA,THIS IS A TRICK GEORGIA!  Get our and vote Dems foe ⁦@ReverendWarnock⁩ and ⁦@ossoff⁩.  #VoteGeorgia #GeorgiaMatters… https://t.co/jKkDCcq52J
147,'1334327334766333952,12/3/2020 2:43,Orionthemafia,Unknown,"@realDonaldTrump Admit it, you are just a noob at elections"
148,'1334327331289247747,12/3/2020 2:43,Kimberlake6,Unknown,"@darrincamilleri Fair elections is not political, it's American. How about just asking good questions instead of at… https://t.co/B2hD9E9imz"
149,'1334327324339294210,12/3/2020 2:43,Bluelov38260443,Unknown,"@jayhawkmommy @mike_wanaoni @realDonaldTrump 1s Create a crisis. (Virus) 
2. Demonize opponents.dems(I am a Jew, no… https://t.co/1XO6GNJpEy"
150,'1334327294526185473,12/3/2020 2:43,CoffeeB96214256,Unknown,@MichaelLBelcher @DanNewsManBall @OANN @realDonaldTrump How convenient to just remove the tweet! These actions from… https://t.co/3vpV7xmtvq
151,'1334327292991037440,12/3/2020 2:43,WillResistAdmin,USA,Florida attorney is at the center of a new state investigation after elections officials say he recently attempted… https://t.co/GetFs4t9UP
152,'1334327287542657025,12/3/2020 2:43,thebleatingedge,USA,"@SaysMissy @realDonaldTrump If the left could organize the level of secrecy, influence, time and effort required to… https://t.co/GERofP8RS4"
153,'1334327274477412353,12/3/2020 2:43,realBillWhite,Other,Twitter and @jack— is there anyway that you can add a search function to pulls together all of the ‘blue warning’ l… https://t.co/XjVHJp09Fs
